Feature,Gini importance
Sequence length,0.12478006752333229
Molecular weight,0.1207370714480071
β-sheet propensity (mean),0.06901156386706392
Aggregation propensity (mean),0.06385213840771452
Val (V),0.056345504298228835
β-sheet propensity (max),0.05125052985417091
Hydrophobicity (mean),0.05082582523551342
Hydrophobicity (max),0.04582924123636909
Aliphatic fraction,0.034891346755329726
Ile (I),0.0337210535984438
Positive residues,0.033628370010161314
Aggregation propensity (max),0.0297373017869828
Leu (L),0.026500332062130448
Hydrophobicity (std),0.025269997399395127
Aromatic fraction,0.017857679193088265
Polar fraction,0.016024268553539063
Phe (F),0.015409966414005064
Negative residues,0.014939889445006179
His (H),0.013526150463931725
Asn (N),0.013480853997295345
